Inf,Name,Position,Age,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,CA,PA
,Lewis Duffy,D/M (C),23,5,2,4,5,14,8,10,8,5,8,13,3,8,9,7,10,8,11,10,10,2,5,13,9,11,8,10,10,5,6,9,14,10,9,8,6,55,75
,Jack McDowall,M (RC),29,4,6,4,5,12,3,4,3,1,5,5,3,5,10,15,6,3,7,3,9,7,5,10,6,5,5,5,10,12,12,5,7,13,12,12,2,50,70
,León Gómez,AM (RC)/ ST (C),22,11,8,12,12,9,10,6,12,5,5,10,10,5,12,10,15,9,8,11,11,9,14,6,12,6,11,11,9,13,12,11,6,11,11,11,11,95,113
,George Burroughs,D (RC),20,8,10,6,3,10,7,10,6,4,9,9,1,15,8,15,10,10,6,7,8,14,5,11,7,9,8,2,9,10,7,9,16,9,9,10,8,70,106
,Iwan Morgan,ST (C),17,6,8,11,13,11,7,8,10,5,4,9,11,7,12,13,11,12,12,8,10,14,11,5,13,6,9,11,11,12,11,12,10,13,11,9,10,88,148
,Ewan Wilson,D/WB/M (L),18,6,10,9,5,8,8,3,8,8,10,10,4,13,10,9,5,9,9,6,14,14,5,5,9,9,14,5,11,14,14,6,5,10,13,7,5,80,108
,Kirk McKnight,D/WB/M (R),18,5,8,6,8,9,8,6,7,7,11,11,4,9,10,7,8,8,9,10,10,18,5,10,9,10,9,8,13,8,10,9,12,13,9,8,5,50,61
,Kian Speirs,M (C),19,7,7,6,8,9,7,6,7,2,10,10,5,9,9,15,8,9,8,8,4,11,5,13,6,8,14,8,14,9,12,8,4,15,14,9,4,55,80
,Greg MacPherson,D/M (R),26,6,9,6,2,9,5,5,3,1,6,6,1,7,7,5,6,7,7,6,9,11,5,14,5,5,6,5,7,13,13,6,5,13,13,6,3,50,60
,Steven Noble,D (LC)/ WB (L),35,7,9,9,6,7,5,7,5,7,7,10,2,10,7,5,5,7,8,11,7,8,12,8,8,6,7,5,12,9,6,7,6,11,9,10,8,50,66
,Reiss McNally,D (RC)/ WB (R),22,4,9,7,3,9,5,12,7,9,11,10,4,11,9,10,9,10,9,8,9,13,9,7,10,12,8,3,11,11,10,9,10,12,13,10,13,77,100
,Conor McKenzie,M (RL),26,5,8,6,2,8,2,4,3,1,4,6,4,3,8,9,6,3,7,6,8,15,5,10,5,4,6,6,11,12,12,12,2,13,12,9,5,50,70
,Sean Murphy,DM/ M (C),28,5,4,2,4,9,5,5,7,5,7,5,5,7,7,8,10,7,4,6,13,3,5,10,7,4,6,7,7,13,13,5,6,15,13,11,6,52,63
Wnt,Gerrard Buabo,ST (C),18,7,7,10,8,14,9,10,9,1,6,9,5,3,9,15,11,12,11,8,9,10,6,6,11,7,9,9,13,9,10,14,10,12,11,9,11,85,101
Yth,Cai Hockey,GK,16,3,2,1,2,2,4,1,2,1,2,7,2,3,2,7,9,13,2,5,13,4,3,5,3,9,5,4,4,10,15,5,7,11,11,3,4,45,87
,Tony Coutts,D (RC)/ WB (R),24,3,7,6,6,6,1,11,6,6,10,9,5,8,6,15,5,8,9,6,12,11,5,13,6,7,7,7,7,8,9,7,11,5,10,8,6,50,65
,Franco Ravizzoli,GK,25,4,3,3,3,7,5,3,1,3,3,5,2,3,6,5,9,12,7,8,7,8,1,4,2,8,6,7,7,8,11,9,11,13,7,5,10,56,105
Yth,Zacharias Ioannides,AM (C)/ ST (C),16,5,5,7,11,12,4,7,6,1,1,10,2,4,9,10,4,4,8,4,6,9,9,11,5,5,6,6,3,14,12,6,9,12,12,7,4,45,82
,Matías Brianese,ST (C),28,6,8,10,12,12,6,12,9,5,7,10,11,9,13,8,11,10,8,7,8,11,11,12,11,11,10,9,13,11,13,13,13,17,11,15,13,91,100
,Oisin Gallagher,D (C)/ DM/ M (C),18,8,7,10,8,11,7,9,8,6,10,12,7,10,10,9,11,12,9,10,9,9,7,9,8,10,10,11,12,11,10,10,10,11,9,10,11,75,107
,Pablo Calvete,M (C),19,6,4,3,7,14,7,5,11,5,12,14,4,10,11,12,5,6,9,6,9,6,5,8,5,6,8,11,11,13,11,8,3,8,12,7,6,70,78
Wnt,Aaron Benn,ST (C),18,1,4,11,14,12,4,7,6,1,1,1,1,1,8,8,7,3,6,5,6,6,13,3,11,6,5,5,5,14,12,4,4,12,10,6,4,45,56
,Xabi Irurita,D (RL),21,4,9,6,5,7,4,9,5,11,8,8,6,12,9,7,10,12,7,11,6,8,5,6,10,11,13,5,12,13,8,10,7,8,13,12,8,70,95
Wnt,Aaron Pilkington,D/WB (R),20,4,9,3,1,7,1,7,3,6,6,6,2,8,8,16,8,15,6,12,9,20,7,8,7,6,10,7,14,14,10,9,9,13,11,10,4,59,90
Loa,Jack Grieves,ST (C),18,6,3,14,14,12,7,14,8,3,5,8,5,3,12,15,9,6,11,8,10,13,11,11,10,5,7,8,8,8,11,8,11,13,8,10,5,70,109
,Finlay Cross-Adair,ST (C),18,9,7,12,13,10,9,14,10,5,9,10,6,3,14,15,8,6,9,10,14,13,13,1,10,10,10,9,11,10,11,9,8,9,10,7,7,85,126
,Owen Bray,M (C),20,6,8,5,5,8,6,6,7,1,4,10,1,7,10,9,6,6,7,7,13,16,5,11,4,8,8,9,12,12,9,7,9,11,9,7,6,50,54
Wnt,Charlie Davis,DM/ M (C),18,6,5,2,7,14,6,6,5,1,6,9,1,11,9,14,8,7,8,8,14,11,5,10,6,8,7,9,11,9,13,7,4,14,11,6,5,60,71
Wnt,Billy Osborn,DM/ M (C),18,3,3,2,2,9,5,5,13,1,6,8,1,12,9,11,4,4,6,4,9,8,5,10,3,4,6,9,9,13,11,3,10,11,11,5,4,45,57
FrA,Darrin Enahoro-Marcus,D (R),18,5,11,1,1,6,2,7,3,6,10,7,2,9,7,11,5,8,7,8,9,16,9,8,6,5,7,6,7,12,9,7,9,13,10,6,6,45,58
Wnt,Bogdan Marian,AM (R)/ ST (C),18,4,7,9,11,12,6,10,4,2,5,8,1,1,12,11,9,6,6,6,8,12,11,4,10,6,7,6,8,11,11,3,9,9,14,6,6,60,107
,Jonathan Macaulay,GK,18,2,1,2,2,1,4,1,2,1,3,7,1,1,5,12,6,15,7,8,13,17,1,9,2,9,7,6,4,8,13,7,8,13,10,1,5,70,139
FrA,Andrés Aguilar,AM (C),18,1,3,10,7,7,5,5,4,1,3,7,5,6,12,15,4,5,12,5,9,16,11,2,7,4,7,7,12,12,10,6,8,12,9,7,4,45,58
FrA,Ethan Goulding,M/AM (R),18,1,6,6,10,6,1,4,2,4,2,7,7,5,8,9,6,4,8,5,6,6,8,5,6,3,6,4,11,13,10,5,5,14,13,11,3,45,61
Yth,Tate Xavier-Jones,ST (C),16,4,2,9,13,10,4,13,3,1,4,5,9,1,8,13,11,2,9,5,3,13,8,9,8,2,4,3,5,12,9,5,7,10,10,7,3,45,78
Yth,Oliver Pipa,GK,16,3,2,3,1,1,8,1,1,3,2,8,2,3,1,7,5,12,2,5,13,7,3,11,3,6,5,1,4,11,5,5,8,15,12,3,3,45,89
,Aziz Kayondo,D (L),20,6,11,9,6,10,3,10,9,6,9,14,1,15,9,12,11,8,10,8,15,12,10,11,9,9,10,8,14,11,9,10,8,14,10,15,8,90,109
,Jocy,M (C),32,6,5,3,7,13,5,6,10,5,10,14,2,6,11,11,8,5,8,7,11,12,5,6,8,6,7,6,12,12,9,7,6,13,9,13,6,60,65
,Jordan Hunter,ST (C),19,5,4,6,13,11,4,6,6,5,4,6,6,4,12,14,9,2,12,6,11,13,12,6,9,1,6,5,10,9,10,13,6,12,10,7,5,50,60
Yth,Matthew Takawira,ST (C),16,1,1,10,12,11,1,12,1,1,3,4,3,1,9,9,5,2,3,4,9,5,10,1,10,1,3,4,4,11,11,4,6,13,11,9,6,45,83
,Zé,AM (RL)/ ST (C),31,7,11,5,13,12,7,8,5,2,4,13,7,8,10,7,10,8,7,7,11,4,12,11,10,7,8,5,9,12,8,8,10,11,12,9,6,65,70
,Iñaki Rupérez,M (C),20,6,4,4,8,14,8,4,9,6,13,14,2,8,13,7,6,3,13,9,10,14,10,7,11,9,9,7,13,14,13,9,5,10,14,10,7,94,104
Yth,Isaiah Harvey,WB (L),16,6,10,6,5,12,1,2,1,1,4,6,3,6,7,11,5,5,6,4,6,9,5,7,2,7,6,4,8,11,10,6,12,13,12,13,6,45,79
Yth,Matas Klimas,D (C),16,1,2,4,1,4,1,9,3,3,13,2,1,9,2,8,7,8,4,7,14,4,5,10,5,9,6,5,7,7,8,7,7,13,6,10,8,50,61
Yth,Josh Lewis,D/WB (L),17,4,10,6,2,7,2,7,4,6,8,8,3,9,8,6,7,8,7,8,14,18,5,7,4,8,7,5,7,13,12,7,2,7,12,4,6,56,103
FrA,Luke Chambers,M (C),20,5,5,7,6,7,5,6,7,5,6,9,6,8,8,11,10,9,10,10,9,9,7,13,7,8,14,9,14,8,7,8,7,11,8,13,8,50,90
Wnt,Amarie Brown,M (R),19,10,9,11,9,10,6,9,7,3,10,9,4,10,9,9,10,7,8,7,7,13,12,4,7,7,8,8,11,10,9,11,9,10,11,9,8,55,63
,Luka Managadze,ST (C),19,6,3,12,14,11,5,6,4,6,5,7,7,2,9,12,8,8,11,6,8,7,11,5,13,5,7,6,8,10,13,8,13,16,13,9,7,70,86
,Jorge Benito,GK,17,2,2,1,3,4,7,1,2,1,2,9,1,2,4,11,9,15,6,8,13,6,2,11,2,9,7,6,6,9,15,7,11,5,9,4,5,70,107
,Reegan Mimnaugh,M (C),21,13,11,10,7,12,11,7,9,7,7,14,8,7,10,4,10,7,10,9,8,9,13,6,10,8,9,12,9,12,10,10,8,14,12,14,5,82,100
FrA,Amaro,D (L)/ M (LC)/ AM (L),36,11,11,10,5,12,12,5,10,10,7,12,12,10,13,12,8,9,6,10,10,11,9,13,10,11,9,12,9,12,13,11,7,13,13,13,9,90,126
,Evan Maley,M/AM (RL),25,8,9,8,1,6,12,4,8,3,4,8,1,5,9,8,6,3,8,5,7,9,10,9,7,4,6,5,11,12,12,10,1,12,12,12,1,55,75
Loa,James Berry,DM/ M (C),24,4,1,9,2,12,4,4,11,1,8,10,12,7,10,11,5,7,12,6,8,18,5,5,9,10,5,4,12,8,9,7,5,14,9,14,5,55,70
,Will Sutton,D (C),20,4,6,9,5,6,3,12,8,8,9,8,4,13,6,8,7,13,9,7,9,9,4,9,7,9,19,6,10,8,10,8,11,9,9,12,13,70,106
,Ryan Stevenson,M/AM (C)/ ST (C),24,2,1,6,9,8,4,4,2,1,2,9,4,4,7,6,7,4,9,6,10,8,15,9,11,6,11,7,12,12,12,5,3,8,13,11,3,50,60
,Hayden Cann,D (C),19,6,6,10,7,10,8,11,4,7,10,9,7,11,7,13,10,11,9,11,9,10,7,10,8,11,9,10,11,10,8,10,13,11,11,10,13,78,93
,Bekim Dema,M (C),29,8,8,9,7,14,8,8,11,3,14,13,4,13,10,12,11,9,10,10,10,10,11,11,8,10,9,12,13,11,9,9,10,12,11,11,11,94,119
,Jovon Makama,AM (RL)/ ST (C),19,5,7,12,8,11,5,10,8,4,6,9,8,4,11,7,8,10,9,8,8,9,10,7,10,4,10,8,13,12,12,13,14,11,13,11,14,81,100
Loa,Dillon Addai,GK,18,1,1,2,3,1,4,1,2,1,2,5,3,3,1,15,4,8,6,3,13,6,1,5,3,8,6,2,5,10,12,6,10,8,7,1,5,65,97
,Kevin Swain,GK,37,2,2,2,3,1,5,1,3,1,1,5,2,3,3,6,7,8,4,6,13,13,2,14,1,7,3,4,4,6,12,4,9,15,6,4,4,48,60
Yth,Dominic Martins,M (C),16,4,4,1,5,13,4,4,8,2,7,9,1,5,13,8,6,4,3,3,13,15,5,3,4,3,6,10,11,9,12,2,5,12,10,6,3,45,90
Yth,Charlie Trustram,M/AM (C),16,4,4,6,6,9,4,4,11,1,3,9,3,6,9,10,3,3,3,4,11,10,9,1,8,5,5,7,10,13,11,5,11,13,13,12,5,45,80
,Oban Anderson,M (C),24,5,3,2,6,9,5,5,6,1,7,10,2,4,13,15,7,6,7,6,11,5,5,9,6,7,6,9,7,13,13,6,8,15,13,12,9,52,75
Inj,Pharrell Willis,WB/M/AM (RL),20,10,11,11,8,8,10,4,6,7,6,8,6,4,9,10,9,8,9,9,9,3,13,13,9,7,9,11,8,14,10,10,4,10,14,10,7,93,123
Loa,Sam Collins,D/WB/M/AM (L),20,7,10,6,9,14,7,7,7,7,8,10,2,9,10,10,8,8,4,8,9,14,9,13,11,9,8,9,9,14,14,8,9,10,13,6,6,79,114
Loa,Jack Hannah,D (C),20,4,4,3,5,9,6,13,5,4,12,11,5,12,11,10,11,10,12,11,10,9,5,10,9,11,10,8,10,10,10,10,11,10,10,12,10,85,120
,Bailey Cadamarteri,ST (C),18,9,8,11,13,12,10,12,12,6,10,11,14,8,12,11,12,16,11,8,7,12,7,9,12,5,11,9,14,12,14,9,12,13,12,12,13,105,139
,Tsoanelo Letsosa,M/AM (C),19,8,8,10,13,14,8,7,8,7,9,14,14,4,12,15,9,7,11,9,9,8,14,8,10,10,10,9,14,13,13,9,8,12,13,11,12,95,136
,Joey Phuthi,D (R)/ WB (RL),18,4,12,12,11,10,2,7,6,6,6,8,1,10,8,7,6,8,10,8,9,12,11,6,7,4,7,3,8,16,16,6,5,12,17,9,2,85,103
Yth,Charlie Emery,D (C),16,1,1,1,1,1,1,12,1,1,12,4,1,10,1,8,9,6,4,4,12,5,5,4,3,12,3,3,4,8,9,4,7,7,9,2,5,45,89
,Abde,AM (RL)/ ST (C),23,6,11,13,13,13,7,8,8,7,7,13,5,6,11,5,10,9,9,8,12,13,11,2,11,7,8,8,9,13,13,7,6,12,13,10,5,104,120
,Rubén Giménez,M (C),33,9,9,5,10,10,9,9,9,6,13,15,5,9,15,9,10,7,9,9,15,5,7,14,11,8,10,13,14,9,11,10,4,14,10,10,8,92,100
Loa,Brad McGregor,D/WB (L)/ DM/ M (C),18,10,9,6,7,7,13,7,8,7,9,9,3,9,8,9,9,8,9,7,13,10,5,6,7,9,8,9,9,9,9,8,6,13,9,6,4,59,86
,Daniel Laing,GK,28,4,2,3,2,2,6,2,3,1,2,9,3,3,6,12,9,5,8,10,15,14,2,8,1,9,8,7,7,5,10,6,8,13,5,6,6,50,68
Yth,Jamie Odegah,ST (C),16,4,3,8,10,5,1,11,5,1,1,3,3,1,6,8,7,6,11,1,5,10,9,9,8,4,4,5,5,12,10,5,12,13,11,4,13,45,72
FrA,Tyrese Bailey-Green,ST (C),19,4,4,10,13,12,3,10,3,1,4,5,1,1,7,7,7,3,5,5,13,10,7,2,6,5,4,3,5,12,7,5,4,15,10,8,3,45,72
,Nathan Evans,ST (C),26,8,6,8,8,8,8,5,5,2,2,7,5,5,10,11,9,8,9,11,10,10,11,3,7,7,9,6,10,10,12,11,8,12,11,11,7,50,60
FrA,Ethan Slater,DM/ M/AM (C),19,4,4,4,11,7,4,3,6,4,6,10,1,7,5,12,4,6,6,6,12,13,9,11,2,5,6,6,11,13,12,6,1,8,13,8,5,45,75
Yth,Buba Sangaré,D/WB (R),15,7,12,15,6,11,2,9,8,5,7,10,2,13,15,9,10,10,5,6,8,9,9,12,9,7,14,7,11,12,15,14,5,12,15,8,5,85,131
,Keven,M (RL)/ AM (RLC),20,10,11,13,11,13,10,4,12,10,5,11,6,4,13,9,12,10,8,8,7,2,10,11,10,10,9,9,11,13,12,11,2,12,13,11,5,92,130
Inj,Scott Barrow,D/WB (L),34,7,11,9,8,9,11,8,14,8,11,10,9,12,9,7,9,10,10,11,10,11,7,11,9,8,12,7,12,9,9,7,8,10,10,12,10,70,85
Wnt,Dejanae Campbell,AM (RLC)/ ST (C),18,6,10,7,8,7,7,8,4,3,7,13,4,8,8,14,8,8,9,6,12,8,9,1,9,5,13,9,11,10,7,7,8,18,11,7,4,55,70
Yth,Shane Nti,M (C),16,5,5,6,7,13,5,4,4,4,2,13,1,7,12,5,6,3,4,7,10,9,5,8,4,3,7,13,11,10,9,6,2,13,9,6,2,51,114
Yth,John Binnie,D (C),18,6,3,2,2,8,2,8,8,1,10,9,4,16,5,15,8,8,7,9,9,8,5,7,7,10,8,5,9,9,7,9,10,13,9,5,5,50,70
,Alejandro Nores,D (R),18,6,11,4,6,8,2,9,4,8,10,5,7,11,9,12,10,9,9,10,10,17,5,7,8,8,9,7,9,14,11,9,10,10,12,10,6,70,111
,Marcos Navarro,D/WB (L),19,7,10,11,7,11,7,9,6,8,8,11,6,9,11,10,12,12,10,12,12,11,12,11,9,10,12,9,12,12,12,10,7,11,12,10,8,90,122
,Jorge Cabello,D (LC),19,7,10,9,7,11,2,11,6,7,12,11,3,16,6,15,11,10,5,9,11,18,5,2,7,12,9,7,10,14,11,10,8,13,10,9,8,80,122
Loa,Deniz Haimerl,D (C),20,1,5,1,1,9,3,11,4,2,14,9,1,12,6,13,9,9,8,5,14,4,5,4,5,11,7,5,9,11,8,8,10,12,9,7,7,75,107
,Carlos Vicente,M/AM (R),20,9,9,16,9,8,9,9,10,9,9,11,7,9,12,14,11,9,11,5,12,3,14,7,10,9,10,11,11,10,14,10,9,11,12,10,6,85,105
,Finlay Malcolm,ST (C),19,2,1,12,13,13,5,7,6,2,5,4,7,3,8,12,3,6,6,9,4,7,8,11,12,5,6,2,11,11,11,13,4,15,11,6,2,52,60
Wnt,Liam Campbell,GK,18,2,2,3,2,3,4,1,1,1,3,10,3,3,1,9,7,11,8,8,7,6,2,1,2,8,9,8,8,8,9,9,6,12,7,4,6,50,73
FrA,Luis Rödel,GK,19,3,3,3,1,2,6,1,2,1,2,7,3,2,2,11,8,6,4,8,13,17,3,3,2,5,6,5,5,7,12,6,12,11,7,3,2,60,80
Yth,Max Kuczynski,D (LC),16,6,9,1,6,8,2,9,4,6,10,8,4,15,8,15,7,9,3,5,11,12,5,8,5,11,8,3,8,10,7,8,14,10,7,5,8,60,114
,Lúkas Petersson,GK,19,2,2,1,1,2,5,1,3,2,2,10,2,3,5,8,6,11,7,9,10,7,3,12,1,11,7,6,6,9,8,2,16,9,5,5,8,80,109
,Musa Dibaga,GK,23,2,2,1,3,3,6,1,3,2,3,4,1,3,1,9,10,7,6,10,7,18,1,4,1,8,6,5,6,7,9,6,11,8,7,3,5,55,65
,Nico,M/AM (C),17,7,8,9,9,14,7,7,8,1,7,11,4,9,11,8,9,6,6,4,14,4,13,2,8,9,9,13,12,10,10,9,5,13,12,12,5,70,113
,George Horbury,DM/ M (C),19,8,10,8,8,8,7,8,9,9,7,9,7,11,9,11,9,13,6,7,4,11,7,5,6,7,10,10,14,10,11,7,9,12,9,12,9,58,99
Yth,José Alí,ST (C),18,5,2,13,13,12,5,13,6,1,5,6,5,4,7,10,8,4,9,6,9,15,11,6,10,3,5,3,6,13,13,6,9,14,13,7,5,69,84
Yth,Lewis Pirie,ST (C),16,7,4,10,14,14,7,7,4,4,6,10,5,1,12,9,14,8,7,4,8,18,13,10,13,5,7,5,7,14,11,14,14,13,10,6,4,80,140
,Édgar Alcañiz,M/AM (C),18,8,8,8,6,11,7,7,7,4,6,10,5,7,12,10,9,12,10,10,15,16,10,7,10,7,10,11,10,11,10,11,6,11,9,8,7,88,129
FrA,Ismael,AM (RLC),28,6,7,12,9,11,4,6,7,6,3,9,2,4,12,6,6,6,4,7,9,17,10,7,11,4,7,6,10,13,13,13,1,7,13,9,1,80,91
Inj,Max Bardell,D (RC)/ WB (R),20,5,9,8,3,9,7,14,2,10,11,9,2,13,9,9,11,13,9,9,9,9,6,9,7,11,12,8,13,13,8,11,11,8,12,13,10,90,100
Yth,Ben Wetshi,M/AM (R),16,4,9,12,5,11,1,3,4,1,1,8,2,2,9,14,3,1,2,4,5,4,10,1,9,3,4,2,9,12,12,4,4,12,12,5,2,45,90
,Murray Johnson,GK,18,3,3,1,1,1,6,1,3,1,3,7,3,3,1,8,9,15,7,6,13,11,1,9,1,12,7,6,6,13,11,7,8,12,13,1,5,85,115
,Kade Craig,D (LC)/ WB (L),20,3,7,6,8,10,3,10,3,4,9,10,2,10,10,11,11,10,9,9,10,5,4,4,10,10,11,11,11,11,10,9,10,13,12,12,11,76,120
,Murray Aiken,M/AM (C),18,1,5,11,7,10,3,6,4,9,10,12,6,11,11,7,13,12,12,10,12,4,9,8,10,11,10,12,11,12,11,10,4,11,11,12,8,85,110
Wnt,Borja Cortina,D (C),17,1,1,5,3,6,1,13,1,1,13,7,6,13,1,7,10,9,2,8,13,5,5,9,6,12,6,2,7,13,13,7,7,5,13,5,6,70,127
,Younes Saifi,M (L)/ AM (LC)/ ST (C),19,7,9,9,10,14,7,6,6,7,3,11,2,7,12,15,7,5,7,8,10,3,11,8,11,5,13,9,9,13,11,13,5,8,11,4,4,80,99
,Mark Sideserf,D/WB (L),34,5,8,2,4,9,1,5,6,7,12,8,5,12,9,12,8,9,7,9,11,10,5,14,7,9,9,4,14,7,6,8,8,14,6,12,6,52,70
,Bruno Iribarne,GK,18,3,1,1,3,3,5,1,3,2,1,8,3,1,4,13,10,12,5,8,13,16,1,10,3,7,7,6,6,13,14,7,13,13,12,1,6,85,111
,Andrew Macleod,DM/ M (C),18,2,4,2,4,12,5,5,11,1,6,14,1,12,7,8,6,6,4,2,10,12,5,2,6,6,6,11,9,11,10,6,4,12,10,4,4,40,78
,George Robesten,ST (C),17,2,4,10,12,12,2,12,3,1,3,4,2,1,8,10,10,5,10,1,3,5,9,4,8,1,3,2,4,12,9,4,9,10,11,3,5,40,93
,Darren Christie,AM (LC)/ ST (C),35,6,9,11,8,13,7,9,5,7,6,11,3,4,8,9,9,4,10,8,12,12,7,13,13,8,8,7,13,8,8,11,6,12,10,8,4,57,65
,Conor Gethins,ST (C),39,5,5,8,16,9,8,6,9,3,1,7,11,5,6,6,10,6,10,12,12,12,11,16,8,9,4,4,11,11,6,6,5,14,9,7,9,54,70
FrA,Philipp Beigl,GK,30,3,1,3,1,6,6,1,1,2,2,10,3,2,4,11,13,8,9,11,10,16,1,14,1,11,9,8,8,10,12,9,11,11,10,4,12,84,86
Yth,Boyd Beacroft,D (C),17,6,5,7,7,10,2,11,4,2,8,10,7,14,7,9,8,9,8,9,11,13,5,7,9,9,9,6,10,10,8,10,12,14,9,10,7,68,104
Wnt,Luke Rees,ST (C),20,2,4,12,13,8,4,13,5,1,4,3,7,1,9,9,12,1,8,5,3,12,9,4,11,5,4,2,5,11,10,5,8,13,10,8,8,49,100
,Oliver Green,DM/ M (C),20,9,9,8,9,10,9,7,9,2,9,10,6,9,15,15,10,9,10,10,10,10,5,10,9,10,9,11,12,10,9,7,7,10,10,10,5,69,79
Wnt,Louis Beckett,M (LC)/ AM (L),20,8,8,10,8,13,7,7,10,7,9,11,1,8,9,5,10,8,8,8,10,12,7,5,12,9,8,11,11,10,10,9,2,11,10,10,6,67,82
,Jake Leake,D/WB (L),20,9,11,10,6,8,7,9,4,8,11,11,5,11,9,11,9,10,9,10,9,12,8,7,10,9,10,9,11,11,11,9,8,11,11,10,7,70,84
Wnt,Harry Fisk,GK,20,2,1,2,2,6,4,1,3,2,1,9,2,2,6,13,9,9,9,12,9,13,2,3,2,10,9,7,11,6,9,9,12,9,6,7,6,67,78
FrA,Juancho,M (RC)/ AM (R),21,7,9,6,8,14,4,6,9,2,7,12,2,6,11,10,4,3,10,8,12,5,10,13,9,8,10,13,9,9,13,8,5,14,10,8,4,70,84
,Sam Young,D (C),17,4,1,1,1,5,1,7,5,2,14,6,1,13,1,10,12,7,3,4,14,10,5,1,1,10,5,1,6,10,8,4,9,8,6,5,7,49,71
,Andreu Ramos,D (RC),34,7,10,6,4,11,10,12,4,7,10,10,6,9,10,5,14,10,11,9,15,10,5,6,8,10,10,6,11,11,10,11,12,12,10,9,8,86,90
FrA,Chechu,D (R),32,5,9,4,3,11,1,9,6,8,9,10,5,13,10,15,10,9,10,9,12,16,10,7,7,10,9,10,10,8,12,5,9,10,12,14,6,80,85
,Juanma Conesa,GK,25,2,2,2,2,1,4,1,1,3,1,8,2,3,3,10,9,11,7,9,13,16,3,13,3,8,7,6,6,13,7,7,7,13,12,6,5,77,96
,Adri Rivas,AM (RL)/ ST (C),26,6,9,13,13,13,6,11,6,4,6,8,1,3,11,7,8,8,5,7,8,5,11,3,13,6,7,6,8,12,9,7,5,13,13,13,4,80,105
,Daniel Kelly,M/AM (C),17,8,8,13,10,14,8,7,11,3,9,14,3,12,10,15,9,7,6,8,14,11,9,10,11,7,13,10,8,14,10,12,7,12,13,9,7,94,145
,Arran Laidlaw,ST (C),21,4,1,6,13,8,2,5,5,3,4,7,4,1,9,9,10,6,6,5,8,17,9,10,13,4,6,5,11,12,9,11,8,14,11,11,2,48,75
,Jordan Smith,ST (C),23,5,3,9,13,8,5,7,3,5,5,6,6,1,5,8,7,4,13,4,11,5,5,13,10,6,5,5,9,9,12,13,6,15,12,8,2,50,65
,Abel,D (RLC)/ WB (L),27,3,9,2,1,8,1,5,5,13,6,6,2,11,8,12,11,9,4,7,13,14,5,10,6,7,7,7,8,13,13,7,9,13,11,8,11,81,90
,Isra,AM (C),19,7,4,9,9,10,7,7,8,5,6,11,4,8,7,9,7,8,9,6,14,4,8,8,9,4,8,14,9,14,11,4,8,11,13,6,6,82,112
,Carlos Guirao,M/AM (C),20,7,6,9,13,11,6,3,6,1,3,14,7,8,11,12,10,6,11,8,13,9,14,12,8,9,5,14,10,10,13,8,6,10,13,7,6,80,98
,Jan Montes,D/WB/M/AM (L),17,8,11,9,10,9,4,7,5,2,4,8,2,9,10,15,7,6,6,7,13,6,9,3,10,6,8,9,9,14,10,8,7,15,12,5,5,70,98
,Marc McKenzie,M/AM (R)/ ST (C),37,7,9,10,7,8,8,3,8,6,3,9,8,4,7,3,9,3,6,9,6,6,9,2,9,2,9,9,12,9,11,6,3,13,10,11,6,50,86
,Nowend Lorenzo,AM (RL),20,6,8,12,11,10,7,6,7,5,4,11,8,6,12,6,7,11,10,11,12,10,12,7,12,8,11,9,10,13,11,11,7,8,12,11,9,88,119
Loa,Aidan Denholm,M (RC)/ AM (C),19,9,10,11,10,9,5,7,9,8,11,11,6,9,11,12,9,14,10,8,9,10,10,5,13,11,15,11,15,12,12,12,8,11,13,12,9,92,103
,Alejandro Bueso,M (C),18,6,7,5,8,14,7,7,8,2,7,14,3,7,12,15,5,4,8,5,7,10,7,8,9,6,8,14,13,14,10,8,7,11,12,10,6,70,94
Yth,Joan,D (C),15,4,7,2,2,5,1,14,2,2,11,8,3,14,7,12,8,9,8,8,10,14,5,7,7,11,7,2,8,14,14,8,8,15,11,9,9,75,132
,Jay Glover,WB (R)/ DM/ M (C),20,7,9,7,8,9,7,8,9,7,7,9,1,13,10,13,5,8,9,9,12,12,5,11,7,10,9,10,12,14,13,8,9,12,10,12,9,82,102
Yth,Zidane Taylan,GK,17,4,1,1,2,1,8,1,3,3,3,7,3,3,2,14,5,14,7,10,13,6,3,5,1,12,7,6,6,10,14,4,11,13,6,3,5,82,121
,Adam Jamieson,M/AM (L),17,8,10,10,10,12,8,7,7,8,5,10,4,6,7,7,5,7,7,7,12,6,11,5,10,8,15,9,10,9,11,5,8,15,8,6,5,50,78
,Marcel Pedro,GK,23,2,1,1,2,4,5,1,3,2,1,8,3,1,1,9,11,10,7,10,13,18,2,9,2,11,7,6,6,11,7,5,12,13,12,2,6,70,80
Yth,Alessandro Romano,DM/ M (C),17,13,12,12,6,12,13,7,8,2,6,13,9,6,13,7,8,7,11,8,9,7,12,8,8,6,11,11,9,9,11,10,11,12,10,10,6,72,130
