Inf,Name,Media Description,Age,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,CA,PA
Yth,Shane Kluivert,Promising winger,15,8,8,12,11,11,8,7,10,6,5,9,10,6,12,7,8,9,9,7,8,12,14,7,11,5,9,8,8,12,13,11,5,14,11,7,6,75,127
Loa,Alberto Cuéllar,Striker,23,6,5,10,13,8,2,13,7,2,6,6,5,2,9,14,10,1,13,7,9,2,10,10,8,7,6,4,7,13,13,7,3,13,13,12,7,73,82
,Marcel Mansfeld,Striker,22,6,4,12,13,13,4,11,6,2,5,9,3,4,8,9,10,7,11,8,12,3,11,7,14,8,7,6,9,14,11,8,11,14,14,9,11,85,100
,Cristian Barrios,Experienced midfielder,32,16,8,7,11,12,18,5,16,5,9,12,11,6,14,13,11,9,16,10,10,6,11,18,13,11,10,12,9,7,12,9,6,12,11,8,6,82,94
,Ross Clarke,Full-back,27,5,9,3,3,5,1,5,2,6,7,5,4,13,7,13,8,8,5,7,9,8,5,3,3,7,7,7,8,14,12,7,7,15,12,13,5,60,70
Yth,Manu Romero,Promising full-back,14,6,10,8,10,9,6,1,6,6,3,12,2,9,7,6,5,8,3,6,13,8,7,4,11,7,7,3,8,13,13,7,6,14,13,13,6,70,142
,Cavan Sullivan,Promising attacking midfielder,14,8,10,10,15,10,8,7,10,7,4,15,9,5,10,14,6,8,11,10,11,14,7,11,12,9,9,12,10,12,12,9,3,12,10,10,1,77,166
,Thomas Oluwa,Striker,22,4,7,11,11,9,6,9,8,4,5,9,12,5,11,12,9,10,10,10,9,6,12,5,12,7,10,9,12,16,11,11,10,12,15,11,11,94,103
,Jack Blake,Midfielder,28,14,8,11,9,10,15,7,17,4,8,12,7,7,10,9,10,8,10,11,10,10,8,7,10,8,10,12,14,11,12,7,9,11,11,14,8,96,104
,Mohamed Seye,Striker,23,9,5,11,9,11,9,16,9,3,9,10,6,6,11,15,12,7,10,7,7,17,13,2,11,10,9,9,10,11,11,9,15,12,11,6,12,84,94
,Diego Rodríguez,Young striker,19,5,5,4,13,9,4,13,8,3,5,8,4,4,7,5,7,8,8,4,9,18,11,1,12,7,6,6,8,13,12,3,10,8,13,7,6,75,87
,Scott Brown,Midfielder,28,5,6,11,12,11,8,4,13,1,10,15,14,12,11,10,8,10,10,10,10,11,10,18,10,12,15,9,19,9,10,9,9,12,11,10,10,93,109
FrA,Edin Zengin,Young centre-back,18,2,2,1,1,3,1,9,3,1,13,6,1,10,3,6,9,8,6,5,13,17,5,9,5,12,5,5,6,13,9,6,11,16,8,6,8,60,73
,Imani Lanquedoc,Young attacking midfielder,19,3,5,10,6,10,6,4,4,1,3,10,3,9,13,15,9,5,5,2,12,13,12,2,7,6,13,5,13,12,10,11,11,12,7,8,5,55,86
Wnt,David Nyarko,Young attacking midfielder,20,8,12,10,11,11,4,7,4,3,4,3,6,4,6,8,6,12,6,6,7,9,9,10,9,5,4,7,7,13,11,8,7,12,11,8,9,63,103
,Scott Gray,Winger,28,1,9,9,6,7,2,4,8,1,6,8,3,6,9,8,6,7,6,6,5,6,9,3,8,8,8,7,12,12,11,9,6,10,10,9,3,60,70
Loa,Benji Purcell,Young midfielder,18,12,10,9,8,10,12,5,10,4,8,12,3,8,10,11,10,9,9,9,8,16,10,10,9,8,10,9,12,14,10,11,9,14,11,10,10,76,136
,Lee Bonis,Striker,23,6,10,11,14,11,6,13,5,2,7,13,11,5,12,8,9,11,10,12,9,10,10,6,11,11,10,10,14,11,10,10,10,10,13,13,14,100,110
,Manu Cardiel,Young full-back,18,5,12,8,2,9,3,9,7,8,9,8,2,11,6,7,9,9,7,7,15,9,5,2,6,7,9,8,9,15,12,9,12,6,13,9,6,75,93
,Stefan Parkes,Young full-back,19,3,5,6,6,8,1,8,2,4,8,8,2,12,7,15,8,8,8,8,11,6,5,12,6,8,13,7,13,13,10,14,14,13,9,13,6,65,138
,Michael Paton,Veteran winger,34,6,10,9,8,8,8,3,8,1,6,12,6,8,9,3,6,6,8,10,9,9,9,6,10,8,6,6,8,7,9,10,8,7,7,9,8,55,90
,Craig Pettigrew,Veteran full-back,36,5,7,5,4,7,8,9,11,4,10,7,9,11,6,10,8,12,9,9,8,9,6,8,1,8,9,5,11,10,8,6,12,11,11,9,9,60,80
,Keelan Williams,Young full-back,19,5,10,3,1,8,3,8,6,7,8,5,1,13,11,8,7,9,5,10,15,4,7,12,6,8,8,5,8,8,12,8,7,10,8,6,5,60,98
,Jake Hull,Centre-back,21,3,7,6,6,8,4,13,2,9,12,10,3,10,7,11,8,13,8,8,7,10,7,10,5,9,12,9,12,11,8,11,17,14,10,11,14,69,95
,Jack Leckie,Young centre-back,19,3,6,5,4,7,1,10,4,1,10,9,7,10,6,15,10,9,7,9,11,13,5,12,6,10,11,8,11,9,7,9,12,18,9,9,7,65,75
,Charlie Adams,Midfielder,29,7,9,13,9,10,8,9,8,10,7,12,8,9,10,9,9,11,10,10,10,12,9,13,10,11,13,9,12,13,11,11,10,12,12,14,10,94,94
,Leo Saca,Young centre-back,16,5,8,9,7,10,5,10,7,9,11,10,7,12,10,12,9,10,8,8,9,12,7,7,8,10,11,9,10,11,12,10,11,14,12,9,9,75,127
,Aaron Williams,Striker,29,7,8,8,13,10,4,8,10,10,5,9,5,6,9,6,10,12,11,8,9,10,10,6,12,7,10,9,11,9,5,9,12,11,9,12,14,72,80
,Mark Beck,Striker,29,4,2,6,11,11,4,15,7,7,10,11,8,6,7,7,11,10,12,10,12,9,6,8,11,15,12,9,15,6,5,8,19,15,7,10,15,82,90
,Jacson Coppack,Young midfielder,19,6,6,7,8,11,6,6,5,4,8,10,7,10,10,15,4,5,11,6,14,4,5,6,9,5,13,4,12,11,8,14,13,7,8,7,8,54,99
Yth,Corbin Mthunzi,Young centre-back,16,1,4,1,4,6,5,8,2,3,9,4,2,13,6,15,10,8,5,7,13,15,5,9,1,9,5,7,7,9,9,7,8,12,10,3,6,55,126
Wnt,Barry Maguire,Defensive midfielder,25,17,11,8,7,10,12,10,8,3,9,8,5,11,11,14,10,12,12,8,8,12,8,3,9,11,11,8,14,9,11,11,15,12,8,12,10,85,115
,Haydn Hollis,Centre-back,30,2,3,5,5,9,1,14,3,1,12,8,2,13,9,14,9,15,9,12,9,13,8,8,8,12,11,6,12,7,6,7,14,10,8,13,13,78,86
Wnt,Kade Ratchford,Young midfielder,19,4,1,6,9,10,4,4,4,1,1,3,3,5,9,10,7,7,4,5,11,11,9,9,6,6,6,6,11,12,12,5,14,12,12,6,6,55,89
,Guillem Víctor,Young full-back,16,7,11,10,8,10,7,8,8,9,10,11,8,11,11,13,10,10,8,8,9,12,11,7,10,9,11,8,10,11,12,10,8,14,11,10,8,75,119
,Jofre Torrents,Young full-back,16,6,12,11,7,11,7,8,8,9,8,10,7,9,12,11,9,8,8,7,9,12,11,7,11,8,11,8,10,11,12,11,9,14,12,10,8,75,110
,Adam MacDonald,Young midfielder,17,3,2,8,8,9,7,5,9,4,8,9,4,9,6,15,5,11,9,5,9,9,5,11,9,4,14,9,11,10,13,8,9,11,14,6,7,60,82
Inj,Blair Yule,Midfielder,30,3,9,10,8,12,4,8,6,6,9,12,7,9,10,6,8,9,13,8,11,9,3,6,11,9,14,10,15,9,7,13,7,15,12,15,8,82,82
Loa,Simon Joachims,Winger,21,5,10,13,9,9,6,3,6,6,6,11,4,4,10,8,8,5,5,7,13,16,11,4,8,6,7,9,12,13,13,7,8,13,13,7,4,80,105
,Jon Craig,Young full-back,19,8,9,5,3,6,5,8,6,8,7,8,8,8,7,6,9,9,7,8,9,15,3,6,10,6,8,7,12,13,11,9,10,14,10,13,8,59,74
,Shane Byrne,Midfielder,30,13,9,6,8,9,10,7,9,7,8,10,4,9,10,9,10,8,8,10,9,11,6,12,10,10,11,6,12,9,12,8,8,10,9,12,10,69,95
Wnt,Jacob Hamilton,Young striker,18,4,11,7,12,9,2,8,7,1,4,9,3,2,10,7,10,7,9,5,6,12,9,1,12,6,6,6,3,13,8,7,8,7,12,5,6,55,103
Wnt,Joe Smyth-Ferguson,Young striker,18,5,4,11,8,8,5,13,3,1,3,6,6,1,9,14,11,7,11,6,6,7,9,10,10,3,7,6,14,13,9,6,5,12,12,7,5,53,84
,Diego Núñez,Defensive midfielder,21,5,7,6,7,14,6,7,7,1,8,14,5,14,9,15,12,8,6,7,14,3,5,11,7,11,13,9,11,8,8,8,5,12,6,7,10,86,116
,Blaine Hudson,Centre-back,31,6,6,6,5,8,7,11,5,7,10,3,5,11,8,9,10,8,7,10,8,9,6,6,8,10,8,7,9,7,8,8,17,13,8,10,11,72,74
Wnt,Troy Smikle-James,Young striker,18,4,8,8,8,4,7,10,4,1,7,9,6,6,6,11,12,8,7,8,10,15,11,12,11,4,7,8,9,12,15,5,8,15,13,8,9,60,93
FrA,Saja Manafá,Young attacking midfielder,18,2,6,13,11,9,5,2,7,1,2,12,4,6,13,11,2,7,7,6,6,2,13,8,8,6,7,7,7,13,13,6,9,8,13,5,2,52,100
,Tim Drexler,Young centre-back,18,5,4,6,4,10,2,14,2,6,11,10,2,14,6,13,9,10,6,7,13,3,5,1,6,12,8,6,10,9,13,9,12,13,14,6,6,90,118
,Iván Agudo,Attacking midfielder,30,10,11,12,7,11,6,7,11,7,5,12,10,6,12,6,7,8,9,10,11,14,12,7,10,7,8,12,10,12,11,9,7,10,12,12,7,94,105
Loa,Charlie Wilson,Young centre-back,18,4,4,5,4,8,4,14,4,4,12,6,4,12,6,7,10,10,9,11,11,9,4,9,6,10,9,7,8,10,8,9,14,10,9,10,10,77,104
Loa,Mamadou Jobe,Young centre-back,20,5,5,6,5,7,5,10,4,4,10,9,4,10,9,8,9,10,10,10,9,5,2,6,8,10,10,8,9,11,11,9,12,11,11,12,11,70,107
FrA,Egoitz Magdaleno,Full-back,32,7,12,11,10,11,5,8,7,5,8,12,7,10,12,7,12,11,12,11,11,16,12,12,12,11,12,11,10,12,11,12,8,19,12,7,8,93,100
,Braun,Winger,27,6,12,13,8,10,4,8,6,8,8,8,4,8,15,11,10,8,10,6,7,5,5,1,10,8,9,10,13,15,15,7,2,15,15,12,1,86,97
Inj,Ibrahim Digberekou,Young centre-back,18,2,7,11,6,11,2,13,6,4,12,11,6,12,11,13,9,12,8,10,8,12,10,8,8,12,11,10,11,11,9,13,14,13,13,11,13,80,113
,Mark McKenzie,Striker,22,4,5,11,9,8,3,11,10,3,5,7,6,7,10,13,8,12,6,12,5,9,5,2,10,6,12,6,15,12,11,10,12,14,12,9,13,80,95
,Edward Jones,Young centre-back,18,1,1,3,2,7,1,9,1,1,11,6,1,10,3,14,8,6,5,3,13,12,6,9,3,11,5,3,6,13,13,6,4,15,13,5,6,55,79
FrA,Kerry Morgan,Veteran winger,34,6,6,7,6,7,4,3,5,8,2,8,5,3,5,7,7,9,7,7,8,16,13,5,12,10,8,8,10,11,8,6,4,10,10,9,9,45,79
,Danny Galbraith,Experienced midfielder,32,8,9,8,7,8,7,4,8,4,5,7,6,5,9,9,6,8,7,8,8,9,10,7,8,6,11,8,11,11,10,10,7,12,11,9,8,60,75
,Ben Tompkins,Young centre-back,18,4,5,5,4,7,5,10,5,7,11,8,6,9,7,12,11,9,9,9,11,8,3,9,8,10,10,8,10,9,7,9,10,12,11,11,13,66,90
,Julen Lartitegi,Young winger,19,6,10,9,9,12,5,8,4,4,6,9,3,5,12,8,7,6,8,5,13,10,12,1,12,4,7,6,8,12,11,6,8,12,11,7,5,75,91
,Richard Ohlow,Full-back,30,7,10,8,5,9,7,9,6,3,9,9,1,11,8,9,7,7,9,9,11,6,6,8,7,8,8,6,9,14,12,8,9,15,11,14,13,81,89
,George Abbott,Young centre-back,18,5,2,4,4,8,2,9,8,2,8,13,1,14,10,8,10,9,7,8,6,13,5,10,8,15,8,10,9,9,10,9,12,14,10,7,5,55,101
Wnt,Dean Pinnington,Young winger,20,4,6,8,9,12,2,4,5,1,4,8,4,5,7,6,4,3,9,5,12,6,11,2,4,3,6,5,11,12,12,5,2,16,12,7,2,55,89
,James McShane,Attacking midfielder,31,8,8,9,12,9,7,10,8,4,5,9,10,4,11,12,13,11,12,8,10,13,8,8,12,7,14,10,14,10,10,8,8,12,12,9,8,79,85
,Tobias Braney,Young striker,19,5,2,14,11,10,3,9,7,6,6,7,7,5,7,12,10,5,10,7,10,10,7,12,10,4,12,6,12,12,12,7,6,10,11,10,9,57,89
,Kyle Hutton,Experienced midfielder,32,6,8,6,8,9,7,11,9,7,8,12,7,10,8,11,10,9,7,10,11,8,7,10,9,10,11,10,9,7,5,8,12,10,7,10,11,58,85
FrA,Craig Thomson,Full-back,32,15,13,9,4,8,13,7,8,9,8,7,14,11,6,12,8,12,6,6,7,14,12,10,11,10,13,11,9,11,9,8,9,11,11,5,7,55,110
,Änis Ben-Hatira,Veteran winger,34,12,13,14,10,13,14,6,12,8,6,12,11,7,15,12,10,14,12,8,10,10,17,8,10,5,8,11,8,10,9,14,9,11,10,6,11,85,135
,Bob McHugh,Striker,31,1,8,9,12,9,1,11,9,5,4,9,12,4,9,7,10,10,9,9,9,13,9,10,12,4,13,10,12,11,10,10,8,14,10,12,9,75,96
,Aaron Muirhead,Experienced centre-back,32,4,8,5,9,10,11,13,7,19,10,8,20,13,7,17,9,14,6,10,8,12,4,12,8,7,15,8,13,6,13,10,12,14,9,15,14,87,99
,Craig Malcolm,Well-travelled striker,36,3,7,8,11,10,7,9,9,6,7,9,12,6,9,8,8,12,10,8,7,12,5,12,8,7,12,11,12,7,9,9,8,10,8,11,12,60,75
,Cammie Ross,Winger,24,4,4,9,10,9,6,8,10,4,3,9,6,3,10,13,7,12,6,6,6,11,13,7,10,3,7,9,11,9,9,10,12,13,11,10,10,60,75
,Josh Allen,Young striker,19,5,2,14,14,11,6,14,4,2,3,4,6,4,10,5,4,2,9,4,7,2,13,5,14,5,6,2,7,11,11,7,9,14,10,7,7,60,78
Wnt,Sam Bailey,Young centre-back,20,6,8,7,6,8,8,14,9,1,7,6,5,7,8,8,8,9,8,10,6,13,5,10,8,7,10,8,11,12,10,7,13,7,12,13,6,65,79
Loa,James Gale,Striker,21,5,8,9,12,7,7,10,10,5,6,8,9,7,10,9,9,8,8,8,8,8,10,7,9,6,11,8,10,12,12,11,14,11,11,11,10,81,106
,Grant Anderson,Veteran winger,36,7,13,11,10,7,6,12,10,4,4,7,13,4,7,6,8,5,8,6,7,10,12,8,11,9,8,9,15,9,9,7,12,8,10,9,7,63,98
Loa,Diyar Saka,Winger,22,8,11,10,10,14,7,6,4,7,7,13,1,8,11,14,5,8,8,6,9,12,10,8,6,7,4,9,9,14,14,3,14,12,14,5,6,80,98
,Yosmel Zayas,Young striker,19,2,3,13,13,8,6,13,3,1,4,6,7,5,12,5,13,4,8,6,12,13,12,13,13,5,6,6,7,13,10,7,11,15,13,12,6,75,99
Wnt,Ola Okeowo,Young full-back,19,4,7,8,4,6,4,7,5,5,9,7,4,9,8,10,7,9,9,6,7,13,5,7,7,8,8,7,11,14,11,10,10,12,14,12,8,60,71
,Fabian Fritsche,Full-back,31,7,12,6,6,10,6,9,6,5,11,11,6,12,11,7,8,8,8,10,13,10,5,12,10,11,10,8,10,10,11,10,5,8,11,14,4,82,94
,Nelson Khumbeni,Young midfielder,20,5,5,7,5,9,6,7,7,3,10,12,4,12,9,11,10,12,11,8,9,10,5,9,10,10,11,11,11,13,12,12,12,15,13,13,11,85,117
,Thomas Reilly,Midfielder,28,7,7,8,7,10,7,5,11,4,8,12,5,10,9,8,9,10,9,9,8,9,7,8,10,10,11,9,10,10,11,9,9,12,10,12,8,65,80
Wnt,Eddie Jackson,Young full-back,20,4,6,7,3,5,2,8,5,6,9,7,4,9,7,6,9,9,9,9,8,11,2,7,6,9,9,8,11,11,9,10,9,11,11,13,9,56,96
,Ian McShane,Midfielder,30,12,7,5,9,11,11,6,10,2,6,8,11,9,11,10,10,9,9,9,9,11,9,8,5,9,10,10,5,8,10,10,6,12,8,13,11,65,100
,Ross McNeil,Striker,31,8,8,9,12,8,8,6,5,5,8,8,6,6,8,9,10,11,9,9,10,8,5,10,8,9,11,6,12,10,9,9,10,10,8,12,10,55,70
,Liam Dick,Full-back,27,3,13,10,4,12,6,12,6,7,11,8,5,13,7,8,10,11,8,10,8,12,4,15,7,11,13,7,12,13,10,9,10,11,13,9,8,90,110
Yth,Yaw Agyei,Young midfielder,17,6,6,8,7,8,8,5,7,6,7,9,8,7,9,8,10,10,8,10,7,9,7,3,10,6,9,9,11,10,8,10,8,13,11,11,7,54,78
,Sam Stanton,Midfielder,29,9,9,12,10,11,10,7,11,1,7,10,9,8,10,6,10,9,11,9,8,10,13,12,12,9,16,13,18,10,10,8,9,11,12,17,9,103,115
,Alex Harris,Winger,28,9,10,7,9,9,8,3,7,2,4,7,9,6,9,4,7,2,5,7,6,7,11,4,12,4,10,7,6,11,11,6,7,10,11,11,5,60,106
,Corey O'Donnell,Young striker,19,3,3,6,13,12,6,4,7,2,6,5,7,1,10,5,8,5,10,7,8,10,12,9,12,7,7,5,12,12,9,4,13,6,8,7,5,55,68
,Charlie Telfer,Midfielder,27,10,12,9,9,10,10,6,8,4,11,10,7,11,10,11,10,11,10,10,9,9,9,10,10,10,11,12,10,10,13,13,7,13,12,10,9,85,100
Loa,Jason Sraha,Young centre-back,20,6,11,3,3,11,4,13,9,4,14,10,7,15,6,10,13,10,6,11,5,6,5,6,7,5,9,7,10,12,7,7,11,10,12,7,11,70,106
,Gabri,Young striker,18,7,5,13,13,9,7,14,8,7,4,6,7,6,6,6,7,6,7,8,14,3,6,1,13,7,7,7,8,14,14,8,5,10,14,9,7,75,112
,Cacho,Young winger,20,8,13,13,9,10,8,8,8,7,8,13,4,5,13,12,10,8,10,10,9,16,11,12,14,8,9,10,14,12,10,6,11,16,9,9,7,85,108
Wnt,Corey Brennan,Young midfielder,20,4,5,4,5,8,5,5,9,1,8,12,3,6,12,10,8,5,6,6,4,5,5,7,7,8,7,12,12,8,13,6,1,15,13,10,5,58,107
Wnt,Tai Ebanks,Winger,21,4,9,10,6,6,5,4,5,6,1,10,4,5,10,11,8,5,7,7,6,10,14,11,8,6,7,7,7,14,14,7,10,12,14,5,5,60,73
FrA,Julien Carré,Defensive midfielder,21,8,9,7,8,8,5,9,10,3,9,10,6,9,10,5,8,9,9,8,9,10,9,8,8,9,10,9,9,10,11,11,7,11,11,12,11,65,103
,Tyler Pasnik,Young striker,18,5,7,8,11,12,6,7,5,6,6,12,7,6,12,5,6,7,8,6,11,14,11,6,12,8,7,12,8,8,5,4,8,14,7,4,5,50,124
,Blair Henderson,Striker,28,3,6,10,14,7,6,10,12,2,4,8,15,7,10,8,8,9,10,12,11,9,7,7,11,9,10,10,11,7,10,10,14,12,11,9,11,65,90
,Craig Moore,Striker,28,5,6,9,12,11,5,7,8,6,4,6,9,5,8,11,12,14,9,11,6,5,9,7,13,4,13,7,15,11,9,12,5,9,12,14,8,65,102
,Andrés Godfrey,Young midfielder,16,6,3,5,8,13,4,1,6,4,7,14,5,7,8,9,7,6,6,8,14,4,5,4,6,5,8,14,8,14,11,4,11,17,11,11,5,75,111
FrA,Borja Docal,Winger,31,7,13,13,7,10,9,8,8,11,11,7,7,11,9,9,10,4,11,12,12,12,12,7,7,7,11,11,11,11,10,13,9,10,10,13,8,87,109
,Anton Brady,Midfielder,29,8,8,8,6,9,8,7,8,7,10,11,2,10,8,12,12,10,9,9,8,10,5,10,10,11,8,8,13,8,10,7,8,5,8,10,10,60,65
,Joe Duffy,Young midfielder,19,11,7,10,9,11,11,7,9,3,3,13,9,7,11,13,9,6,10,7,10,11,11,5,8,8,12,13,13,12,10,10,10,10,12,12,9,80,102
FrA,Juanra,Winger,29,7,11,11,13,11,5,7,8,6,9,11,7,9,12,7,10,9,10,11,11,10,9,15,11,8,10,11,11,13,10,11,8,9,13,11,11,95,110
FrA,David Herrera,Full-back,25,6,9,9,4,9,1,5,5,7,10,9,1,10,7,12,10,9,10,8,12,16,8,1,6,10,14,9,14,14,13,12,2,13,13,14,5,82,104
,Gary Fraser,Midfielder,29,10,9,9,6,8,13,4,12,2,7,12,7,9,9,10,9,9,7,7,7,11,6,1,8,9,8,10,8,10,10,12,9,10,9,11,9,65,110
,James Golding,Young centre-back,18,7,7,9,9,8,9,8,9,4,8,9,4,10,9,8,8,11,10,6,9,9,10,9,7,8,9,9,12,12,13,11,13,10,12,9,12,78,114
,Álex Méndez,Full-back,21,5,9,6,5,12,1,5,6,1,9,9,3,12,9,8,9,8,4,5,8,12,5,2,8,5,8,8,9,14,14,8,11,14,14,14,6,85,110
,Findlay Marshall,Young midfielder,17,6,2,2,7,13,6,3,9,5,6,10,6,12,10,13,8,8,5,8,13,15,5,12,4,9,6,12,13,13,11,7,11,15,12,13,6,75,118
,Josh Austerfield,Defensive midfielder,21,6,5,8,7,10,5,7,6,5,11,12,8,13,10,9,10,13,12,10,9,10,5,8,10,11,14,12,15,11,11,12,12,14,11,14,11,91,118
,Liam Watt,Winger,29,7,10,9,8,11,7,6,8,5,9,11,8,9,9,6,7,7,8,6,8,8,8,4,9,8,9,7,11,9,9,11,8,14,9,12,7,58,75
,Ed James,Young centre-back,18,6,10,4,7,7,1,8,4,3,8,6,2,7,7,15,9,9,6,10,10,16,5,4,8,12,8,8,9,9,10,9,9,14,10,7,9,53,68
,Luis Montiel,Young midfielder,19,7,7,4,7,14,7,7,9,2,5,14,4,9,14,9,9,7,6,7,13,9,5,13,6,6,8,8,12,12,14,7,2,14,14,7,5,75,91
,Stefan McCluskey,Experienced striker,32,9,5,10,10,7,7,7,6,2,4,8,11,3,8,8,8,9,9,7,7,10,8,7,11,10,6,6,9,11,10,9,10,11,11,6,9,61,85
Wnt,Jordan Aina,Full-back,21,3,8,6,3,7,1,7,6,5,6,6,2,10,6,6,6,7,7,5,5,11,5,13,6,6,7,5,7,15,6,11,12,12,16,6,8,60,85
Yth,Aaron Loupalo-Bi,Young striker,17,4,7,9,9,11,5,9,9,1,3,9,1,3,8,15,12,12,6,5,11,16,9,10,6,4,14,9,14,7,8,15,7,14,9,13,5,55,109
,Dan Moss,Full-back,22,7,10,9,7,9,8,11,5,8,9,8,7,14,10,9,7,16,10,9,10,12,6,9,8,10,11,8,15,12,10,10,10,10,11,12,10,84,123
,Julio Torrens,Young midfielder,20,7,7,8,4,14,6,7,9,6,8,6,4,14,13,9,7,6,7,7,14,13,5,13,6,9,8,10,12,14,14,9,10,15,14,7,7,80,114
,Bob Wilson,Centre-back,28,6,5,5,8,8,5,15,5,6,11,7,6,10,9,9,8,10,8,9,9,1,3,7,5,9,10,6,10,5,6,12,15,10,6,10,14,60,84
,James Thomas,Full-back,26,6,10,4,2,9,3,7,7,8,10,10,4,13,9,10,10,10,9,9,10,5,8,6,6,9,14,8,14,13,15,11,7,15,13,11,8,85,88
,Andy Black,Defensive midfielder,27,5,8,5,2,9,5,2,6,3,6,10,2,12,11,5,6,7,8,6,10,7,5,10,7,11,7,10,12,12,14,7,3,14,14,9,6,60,90
,Louis Lloyd,Young striker,19,5,9,10,10,10,5,8,9,4,7,10,11,8,11,9,11,10,8,9,10,4,9,4,9,11,10,10,11,11,10,9,8,8,10,10,10,64,84
Yth,Adam Poliakov,Young midfielder,17,6,5,2,4,13,6,2,4,1,5,10,3,5,8,14,7,3,9,4,14,12,5,3,4,5,7,8,12,9,12,3,5,12,13,9,6,51,66
,Kingsley Alison Akindele,Young striker,18,7,8,14,13,11,7,11,5,4,6,10,7,4,12,9,8,7,9,8,10,3,12,11,10,5,7,6,9,14,9,4,8,14,12,7,8,80,107
,Luca Marino,Full-back,23,4,9,7,4,10,7,10,8,8,11,9,6,12,10,9,12,8,8,11,15,13,5,10,8,10,5,10,10,13,13,9,9,15,12,8,7,80,98
,Jordan Allan,Attacking full back,28,12,13,12,9,9,5,9,8,18,7,12,10,8,10,12,7,7,7,6,7,11,8,2,10,6,5,7,8,10,9,10,9,11,10,11,11,65,85
,Julien Damelang,Young winger,19,8,12,10,14,12,6,5,6,2,7,13,5,8,14,13,6,5,5,8,10,10,13,4,11,7,8,5,12,14,14,8,6,6,14,7,5,80,114
Yth,Federico Coletta,Promising attacking midfielder,16,7,7,9,14,14,7,7,11,3,8,14,7,9,13,6,7,4,11,5,13,12,12,5,10,5,6,8,11,14,8,8,9,5,11,8,7,85,142
FrA,Steven Ross,Striker,29,6,5,9,10,9,4,7,8,2,2,8,8,6,9,8,8,10,12,8,7,5,6,4,9,9,10,7,11,10,8,8,8,14,10,10,6,46,90
Wnt,Abdi Sharif,Midfielder,22,3,7,9,8,11,6,6,9,2,8,13,3,11,10,9,7,8,8,8,6,10,5,4,7,7,9,6,12,11,6,7,7,16,11,15,5,70,118
Wnt,Matty Jacob,Full-back,22,4,11,10,8,10,7,10,6,7,12,11,7,12,9,8,11,10,9,11,8,6,10,4,12,12,12,11,11,11,10,10,11,9,11,11,8,83,105
Wnt,Mackenzie Lamb,Young midfielder,19,5,5,6,4,10,6,5,5,5,10,11,7,10,10,8,10,10,11,8,8,13,5,8,9,11,12,8,11,11,11,10,12,15,10,12,12,65,70
,Lee Connelly,Attacking midfielder,23,10,11,10,11,11,8,8,10,3,3,10,12,3,11,9,11,6,13,12,11,1,12,7,14,9,10,13,11,13,12,10,8,11,11,9,4,89,101
Wnt,Thiago Lugano,Young midfielder,16,5,2,2,5,8,5,2,8,3,7,11,1,12,12,7,7,7,7,2,13,7,5,11,4,7,7,13,11,13,13,6,10,5,11,7,6,65,84
Inj,Harry Forster,Winger,23,6,10,13,8,10,8,5,7,3,7,10,9,7,11,9,8,11,8,9,7,10,13,5,10,8,11,8,13,12,12,11,6,13,12,10,6,85,110
,James Clarke,Full-back,23,8,9,8,5,9,7,10,4,9,10,10,7,12,8,12,10,12,11,11,9,13,9,12,11,11,12,8,12,12,9,10,12,10,11,12,10,84,105
,Michael Cheek,Striker,31,3,6,9,11,5,4,12,11,7,7,9,11,4,11,6,13,11,13,9,11,14,5,7,13,8,9,7,16,9,8,12,13,9,10,9,11,80,95
,Jack Cook,Centre-back,29,3,6,8,5,10,4,13,3,12,11,9,7,12,8,4,11,12,9,9,8,9,3,10,7,12,12,6,14,9,6,7,15,8,8,11,12,76,78
,Mason Jones-Thomas,Striker,22,5,7,10,7,9,5,2,5,4,2,5,6,2,9,5,7,5,5,5,5,8,14,3,8,4,7,5,6,12,10,10,6,12,11,6,3,37,41
Yth,Giulio Marroni,Young midfielder,17,5,3,7,5,10,5,2,8,4,7,11,2,6,7,15,4,1,5,7,14,9,7,1,7,4,11,2,12,13,8,11,7,12,11,7,4,47,70
,Tom White,Defensive midfielder,26,8,7,8,7,9,8,8,7,3,9,10,6,13,10,14,10,14,10,10,12,16,9,9,9,13,14,7,16,12,11,10,8,16,12,15,11,91,98
,Axel Guessand,Centre-back,18,4,8,8,7,8,7,13,6,11,12,11,6,12,9,10,11,13,11,10,11,10,8,8,11,13,12,11,11,12,11,13,14,15,11,12,15,106,111
,Christoph Schmidt,Striker,28,7,8,13,13,9,7,11,8,1,5,7,5,6,12,10,8,8,8,8,10,15,14,8,12,7,7,7,9,14,12,8,10,11,13,6,6,82,94
,Cammy McKinley,Striker,22,7,4,9,7,13,7,9,8,4,7,8,4,2,9,15,11,11,9,13,12,5,7,1,9,8,5,8,6,9,7,15,9,10,9,5,6,55,75
Yth,Finley Marjoram,Young centre-back,17,5,8,5,6,10,3,10,4,1,8,10,4,13,6,5,8,9,6,10,7,10,5,12,7,5,9,7,10,12,9,9,7,12,11,10,5,55,83
